Ano,Base,Quantidade
2020,IEEE,550
2020,ScienceDirect,1043
2020,ACM,134
2020,MDPI,592
2021,IEEE,723
2021,ScienceDirect,1559
2021,ACM,149
2021,MDPI,1311
2016,IEEE,63
2016,ScienceDirect,195
2016,ACM,21
2016,MDPI,56
2014,IEEE,29
2014,ScienceDirect,111
2014,ACM,15
2014,MDPI,19
2018,IEEE,220
2018,ScienceDirect,352
2018,ACM,85
2018,MDPI,258
2019,IEEE,413
2019,ScienceDirect,634
2019,ACM,143
2019,MDPI,504
2017,IEEE,137
2017,ScienceDirect,235
2017,ACM,45
2017,MDPI,140
2022,IEEE,39
2022,ScienceDirect,385
2022,ACM,3
2022,MDPI,224
2013,IEEE,22
2013,ScienceDirect,74
2013,ACM,4
2013,MDPI,13
2012,IEEE,14
2012,ScienceDirect,59
2012,ACM,11
2012,MDPI,9
2010,IEEE,21
2010,ScienceDirect,39
2010,ACM,6
2010,MDPI,2
2015,IEEE,29
2015,ScienceDirect,130
2015,ACM,24
2015,MDPI,37
2011,IEEE,16
2011,ScienceDirect,50
2011,ACM,6
2011,MDPI,0
