Ano,Base,Quantidade
2016,ACM,4
2016,ScienceDirect,103
2016,MDPI,2
2018,ACM,5
2018,ScienceDirect,90
2018,MDPI,18
2020,ACM,6
2020,ScienceDirect,118
2020,MDPI,26
2014,ACM,2
2014,ScienceDirect,93
2014,MDPI,1
2017,ACM,5
2017,ScienceDirect,87
2017,MDPI,4
2012,ACM,4
2012,ScienceDirect,86
2012,MDPI,1
2015,ACM,3
2015,ScienceDirect,89
2015,MDPI,2
2021,ACM,10
2021,ScienceDirect,164
2021,MDPI,56
2011,ACM,3
2011,ScienceDirect,52
2011,MDPI,0
2019,ACM,1
2019,ScienceDirect,104
2019,MDPI,13
2010,ACM,1
2010,ScienceDirect,55
2010,MDPI,0
2013,ACM,0
2013,ScienceDirect,79
2013,MDPI,2
2022,ACM,0
2022,ScienceDirect,23
2022,MDPI,12
