Ano,Base,Quantidade
2021,MDPI,1170
2021,ScienceDirect,1405
2021,IEEE,504
2021,ACM,300
2015,MDPI,22
2015,ScienceDirect,65
2015,IEEE,39
2015,ACM,44
2019,MDPI,361
2019,ScienceDirect,571
2019,IEEE,433
2019,ACM,367
2018,MDPI,317
2018,ScienceDirect,377
2018,IEEE,329
2018,ACM,225
2016,MDPI,45
2016,ScienceDirect,119
2016,IEEE,78
2016,ACM,62
2022,MDPI,161
2022,ScienceDirect,365
2022,IEEE,26
2022,ACM,13
2020,MDPI,625
2020,ScienceDirect,1002
2020,IEEE,482
2020,ACM,292
2017,MDPI,102
2017,ScienceDirect,197
2017,IEEE,151
2017,ACM,143
2014,MDPI,4
2014,ScienceDirect,38
2014,IEEE,11
2014,ACM,16
2013,MDPI,8
2013,ScienceDirect,12
2013,IEEE,6
2013,ACM,16
2012,MDPI,2
2012,ScienceDirect,3
2012,IEEE,3
2012,ACM,8
2010,MDPI,0
2010,ScienceDirect,0
2010,IEEE,0
2010,ACM,3
2011,MDPI,0
2011,ScienceDirect,1
2011,IEEE,0
2011,ACM,2
