doi,url,author,year,title,articleType,sourceTitle,base,abstract,keywords
,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3384419.3430445,"Ma, Meiyi and Bartocci, Ezio and Stankovic, John and Feng, Lu",2020,Predictive Monitoring with Uncertainty for Deep Learning Enabled Smart Cities: Poster Abstract,inbook,Proceedings of the 18th Conference on Embedded Networked Sensor Systems,ACM,"In order to prevent safety violations, predictive monitoring with uncertainty is crucial for deep learning-enabled services in smart cities. We develop a novel predictive monitoring system for smart city applications, which consists of an RNN-based predictor with uncertainty estimation and a new specification language, named Signal Temporal Logic with Uncertainty. The solution first predicts a sequence of distributions representing city's future states with uncertainty estimation and then checks the predicted results against STL-U specified safety and performance requirements. The system supports decision making by providing a quantitative satisfaction degree with confidence guarantees. We receive promising results from evaluations on two large-scale city datasets, and on a case study on real-time predictive monitoring in a simulated smart city.",
10.1145/3132847.3133101,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3132847.3133101,"Hansen, Casper and Hansen, Christian and Alstrup, Stephen and Lioma, Christina",2017,Smart City Analytics: Ensemble-Learned Prediction of Citizen Home Care,inproceedings,Proceedings of the 2017 ACM on Conference on Information and Knowledge Management,ACM,"We present an ensemble learning method that predicts large increases in the hours of home care received by citizens. The method is supervised, and uses different ensembles of either linear (logistic regression) or non-linear (random forests) classifiers. Experiments with data available from 2013 to 2017 for every citizen in Copenhagen receiving home care (27,775 citizens) show that prediction can achieve state of the art performance as reported in similar health related domains (AUC=0.715). We further find that competitive results can be obtained by using limited information for training, which is very useful when full records are not accessible or available. Smart city analytics does not necessarily require full city records. To our knowledge this preliminary study is the first to predict large increases in home care for smart city analytics.",ensemble learning; home care; smart city analytics
10.1145/2983323.2983886,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/2983323.2983886,"Huang, Chao and Wu, Xian and Wang, Dong",2016,Crowdsourcing-Based Urban Anomaly Prediction System for Smart Cities,inproceedings,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,ACM,"Crowdsourcing has become an emerging data collection paradigm for smart city applications. A new category of crowdsourcing-based urban anomaly reporting systems have been developed to enable pervasive and real-time reporting of anomalies in cities (e.g., noise, illegal use of public facilities, urban infrastructure malfunctions). An interesting challenge in these applications is how to accurately predict an anomaly in a given region of the city before it happens. Prior works have made significant progress in anomaly detection. However, they can only detect anomalies after they happen, which may lead to significant information delay and lack of preparedness to handle the anomalies in an efficient way. In this paper, we develop a Crowdsourcing-based Urban Anomaly Prediction Scheme (CUAPS) to accurately predict the anomalies of a city by exploring both spatial and temporal information embedded in the crowdsourcing data. We evaluated the performance of our scheme and compared it to the state-of-the-art baselines using four real-world datasets collected from 311 service in the city of New York. The results showed that our scheme can predict different categories of anomalies in a city more accurately than the baselines.",crowdsourcing; anomaly prediction; Bayesian inference; smart cities
10.1145/3452369.3463822,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3452369.3463822,"Carlini, Emanuele and Carnevale, Lorenzo and Coppola, Massimo and Dazzi, Patrizio and Mencagli, Gabriele and Talia, Domenico and Villari, Massimo",2020,An Osmotic Ecosystem for Data Streaming Applications in Smart Cities,inproceedings,Proceedings of the 1st Workshop on Flexible Resource and Application Management on the Edge,ACM,"Modern multi-tier Cloud-Edge-IoT computational platforms seamlessly map with the distributed and hierarchical nature of smart cities infrastructure. However, classical tools and methodologies to organise data as well as computational and network resources are poorly equipped to tackle the dynamic and heterogeneous environments of smart cities. In this paper we propose a reference architecture that aims to establish a unified approach for the orchestration of modern Cloud-Edge-IoT infrastructures and resources specifically tailored for data streaming applications in smart-cities. Stemming from the proposed reference architecture, we also discuss a series of open challenges, which we believe represent relevant research directions in the nearest future.",edge computing; internet of things; cloud computing; data streaming; smart cities
10.1145/3139958.3139978,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3139958.3139978,"Aly, Heba and Youssef, Moustafa and Agrawala, Ashok",2017,Towards Ubiquitous Accessibility Digital Maps for Smart Cities,inproceedings,Proceedings of the 25th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,ACM,"Designing indoor and outdoor spaces to become accessible for people with disabilities is of paramount importance. Accessibility leads to improvements in human rights and business outcomes; due to inclusion of a broader range of the population. For example, adding braille writing to signs and installing ramps allow visually-impaired people and the wheel-chaired to navigate on their own.While digital-maps have evolved in recent years to become a part of our everyday life, available ones primarily cover vehicular roads only with limited, if any, accessibility information. This highly limits the range of applications they can support. In this paper, we present our vision for ubiquitous accessibility digital-maps for smart cities; where the maps' indoor and outdoor spaces are automatically updated with the various accessibility-features and marked to assess their accessibility levels for the different disability types such as vision-impairment, wheel-chaired, deafness, etc.To realize this vision, we describe an architecture for a crowd-sourcing-based system to automatically construct the accessibility maps. In addition, we discuss the multi-disciplinary challenges that have to be addressed to materialize it as well as the current pioneering efforts in the research community related to our vision.",accessibility; smart cities; digital maps; indoor localization; pedestrian navigation; crowd-sourcing; outdoor localization
10.1145/3137133.3137163,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3137133.3137163,"Tsai, Huey-Ru (Debbie) and Shoukry, Yasser and Lee, Min Kyung and Raman, Vasumathi",2017,Towards a Socially Responsible Smart City: Dynamic Resource Allocation for Smarter Community Service,inproceedings,Proceedings of the 4th ACM International Conference on Systems for Energy-Efficient Built Environments,ACM,"As a city becomes smarter, the integrated networks of engineered cyber and physical elements provide the capability to greatly improve the quality of life of its citizens. In order to leverage these capabilities to benefit all classes of society, we propose a framework that balances the supply and demand of available resources while maximizing the social welfare of people-in-need by utilizing cyber-physical infrastructure in smart cities. We show through numerical simulations that our proposed framework can reduce the amount of resources wasted by 25% through intelligently assigning the location of services and dynamically pairing resources to different homeless populations.",algorithmic services; fairness; automation; community service; smart city; allocation; service design
10.1145/3274783.3275167,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3274783.3275167,"Mikami, Kazuhiro and Chen, Yin and Nakazawa, Jin",2018,Using Deep Learning to Count Garbage Bags,inproceedings,Proceedings of the 16th ACM Conference on Embedded Networked Sensor Systems,ACM,"The information of daily garbage diposal can be used to develop many appealing applications in smart cities. This poster introduces DeepCounter, an automotive sensing system to providing a finegrained spatio-temporal distribution on the amount of disposed garbage bags. In the system, deep learning based image processing is used to automatically count the number of collected garbage bags from the video taken by a camera mounted on the rear of a garbage truck. A prototype system is implemented and experimental evaluation validates the feasibility of our proposal using realistic garbage collection videos in Fujisawa city Japan.",deep learning; urban sensing; automotive sensing; image processing; smart cities
,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3426020.3426072,"Quach, Hong-Nam and Yeom, Sungwoong and Kim, Kyungbaek",2020,Survey on Reinforcement Learning Based Efficient Routing in SDN,inbook,The 9th International Conference on Smart Media and Applications,ACM,"Traffic on the Internet is growing exponentially around the globe, and SDN (Software Defined Network) becomes very attractive to network research communities. The trend switching from a hardware-centered network to a software-centric network allows that networks become more flexible and efficient. SDN is getting more and more attention, especially with the recent advent of cloud and 5G technology, and many researchers are making various attempts to improve SDN performance. Also, the application of artificial intelligence technology, which applied to multiple fields, has attracted many researchers, and a great deal of research is underway. Specifically, in many fields, including the network industry, the reinforcement learning technique has gained attention. The SDN field also reflected the recent increase in research that relates reinforcement learning. In this paper, we would briefly introduce SDN and reinforcement learning technology by identifying and analyzing recent studies which use reinforcement learning for efficient routing in SDN. Implementing RL techniques in SDN routing shows that enforcing routing to dynamic networks becomes more efficient, and it can provide excellent levels of QoS while optimizing resource utilization.",
10.1145/3128128.3128163,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3128128.3128163,"Kettani, Houssain",2017,Advances in High Performance Computing and Their Impact on Smart Cities,inproceedings,Proceedings of the 2017 International Conference on Smart Digital Environment,ACM,"In the past thirty years, advances in high performance computing have increased the performance by million times, and decreased the volume of the machine by similar order. Accordingly, the fastest computer in the world increased its performance from one Gigaflop/s in mid-1980s to a projected one Exaflop/s by 2020. In addition, current hand-held devices such as smartphones have performance that rivals those machines of the 1980s. Due to hardware limitations, parallel computing became an integral part of our lives that it is hard to imagine a device that is not using multiprocessor power, including smartphones. What started as a hardware solution to physical limitation, prompted software engineers to adopt to parallelism, which also motivates the theoretical solution to algorithms design and analysis to provide a solution that is parallel oriented rather than a serial oriented one.",word; ACM proceedings; text tagging
10.1145/3274895.3274963,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3274895.3274963,"Schmoll, Sebastian and Schubert, Matthias",2018,Vision Paper: Reinforcement Learning in Smart Spatio-Temporal Environments,inproceedings,Proceedings of the 26th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,ACM,"Smart cities offer more and more real-time information provided by sensor networks and traffic cameras. This information can be very valuable for transportation planing. For instance, knowing which parking spots are currently available close to my destination is very valuable in order to reduce the travel time and thus, maximize the resource usage and minimize the traffic load. The future development of this information is usually uncertain. However, algorithms for routing applications should consider that new information will become available during travelling along the computed path. In order to exploit the provided information to a full extend, it is not sufficient to compute a static route or travel plan because the optimality of the plan might degrade as the state of the environment might consistently change. We argue that in order to plan transportation and understand observed trajectories in smart environments, it is necessary to compute action policies (i.e. the most promising action for all situations and in particular, the encountered situations) instead of static routes. Analogously, it makes sense to understand human behaviour based on the sequence of decisions in the encountered situations. To compute and analyse policies, the field of reinforcement learning already provides a rich set of tools. We describe existing approaches of reinforcement learning in spatial tasks and highlight which new challenges arise from developing reinforcement learning techniques for smart environments.",routing; reinforcement learning; Markov decision process; real-time information; smart cities; artificial intelligence
