doi,url,author,year,title,articleType,sourceTitle,base,abstract,keywords
10.1109/ICIEM51511.2021.9445313,10.1109/ICIEM51511.2021.9445313,"A, Fathimath Shahina C. and Kabeer, Saifudeen",2021,‘Covid-Proof’ Smart World,inproceedings,2021 2nd International Conference on Intelligent Engineering and Management (ICIEM),IEEE,"The rare corona virus epidemic has placed communities all over the world in perilous situations. This paper proposed a systematic approach to survive the any kind of pandemic more efficiently by merging the concept of Internet of Things (IoT), Augmented Reality (AR), Unmanned Aerial Vehicles (UAVs), and machine learning (ML). We have designed technology systems and scientific solutions for various smart sectors including Education, Health, Residents, Food and safety, Transportation, Agricultural, Occupation and Finance, Recreation and fitness, and Law and enforcement, which will work in convergence to develop `pandemic-proof' future smart world. Smart emerging innovations are playing a critical role in the world's survival at the time of lockdown and social distancing. This smart application can be a potential tool for supporting remote service delivery, ensuring uninterrupted education, food and medicine delivery, mitigating the crises' impact on businesses and urban citizens and empowering new types of local governance.",COVID-19;Technological innovation;Systematics;Education;Transportation;Tools;Unmanned aerial vehicles;COVID-19;UAV;IoT;Machine Learning;AR;AI
https://doi.org/10.1016/j.csi.2021.103521,https://www.sciencedirect.com/science/article/pii/S0920548921000167,Rajesh Gupta and Dakshita Reebadiya and Sudeep Tanwar,2021,6G-enabled Edge Intelligence for Ultra -Reliable Low Latency Applications: Vision and Mission,article,Computer Standards & Interfaces,ScienceDirect,"The increasing demand for automation and instant solution leads the technological world towards massive applications such as the Internet of drones, Autonomous Vehicles (AVs), border surveillance, telesurgery, and Augmented Reality (AR), which requires a vast upgrade in technology with improved processing and computation capabilities. The Centralized Cloud Server (CCS) provides the facility to compute critical tasks at the central data server, but it consumes more time due to the distance between CSS and edge device. In this article, we discuss the advantages of edge computing over cloud computing to overcome latency and reliability issues in critical applications. Moreover, the idea of processing and analyzing massive applications at the edge comes up with the requirement of building intelligence at the edge to compute complex tasks within a negligible time. Edge intelligence offers intelligence at the edge to process large datasets for critical computations and to overcome storage issues. Also, the performance tolerant connectivity and low-speed rate issues with 4G and 5G can be solved using a 6G wireless network. The 6G connected edge intelligence application offers ultra-low-latency, security, and reliability mechanisms that could be helpful in COVID-19 pandemic situations. We have also discussed the demonstration of aforementioned massive application in the form of a case study on combating COVID-19 situations using 6G-based edge intelligence. The case study depicts the benefits of using 6G (latency: 10−100μs) over 4G (latency: <10ms) and 5G (latency: <5ms) communication networks. The proposed 6G-enabled scheme is compared against the traditional 4G and 5G networks to designate its efficiency in terms of communication latency and network mobility. Eventually, we then analyzed various open issues and research challenges in this emerging research area for future gains and insights.",Edge intelligence; 6G; Ultra-reliable low-latency; COVID-19; Internet of drones; Holographic communication
10.1109/ACCESS.2020.2992341,10.1109/ACCESS.2020.2992341,"Chamola, Vinay and Hassija, Vikas and Gupta, Vatsal and Guizani, Mohsen",2020,"A Comprehensive Review of the COVID-19 Pandemic and the Role of IoT, Drones, AI, Blockchain, and 5G in Managing its Impact",article,IEEE Access,IEEE,"The unprecedented outbreak of the 2019 novel coronavirus, termed as COVID-19 by the World Health Organization (WHO), has placed numerous governments around the world in a precarious position. The impact of the COVID-19 outbreak, earlier witnessed by the citizens of China alone, has now become a matter of grave concern for virtually every country in the world. The scarcity of resources to endure the COVID-19 outbreak combined with the fear of overburdened healthcare systems has forced a majority of these countries into a state of partial or complete lockdown. The number of laboratory-confirmed coronavirus cases has been increasing at an alarming rate throughout the world, with reportedly more than 3 million confirmed cases as of 30 April 2020. Adding to these woes, numerous false reports, misinformation, and unsolicited fears in regards to coronavirus, are being circulated regularly since the outbreak of the COVID-19. In response to such acts, we draw on various reliable sources to present a detailed review of all the major aspects associated with the COVID-19 pandemic. In addition to the direct health implications associated with the outbreak of COVID-19, this study highlights its impact on the global economy. In drawing things to a close, we explore the use of technologies such as the Internet of Things (IoT), Unmanned Aerial Vehicles (UAVs), blockchain, Artificial Intelligence (AI), and 5G, among others, to help mitigate the impact of COVID-19 outbreak.",COVID-19;Viruses (medical);Pandemics;Artificial intelligence;Blockchain;5G mobile communication;Coronavirus;COVID-19;pandemic;transmission stages;global economic impact;UAVs for disaster management;Blockchain;IoMT applications;IoT;AI;5G
10.3390/s21248320,https://www.mdpi.com/1424-8220/21/24/8320,"Diro, Abebe and Chilamkurti, Naveen and Nguyen, Van-Doan and Heyne, Will",2021,A Comprehensive Study of Anomaly Detection Schemes in IoT Networks Using Machine Learning Algorithms,article,Sensors,MDPI,"The Internet of Things (IoT) consists of a massive number of smart devices capable of data collection, storage, processing, and communication. The adoption of the IoT has brought about tremendous innovation opportunities in industries, homes, the environment, and businesses. However, the inherent vulnerabilities of the IoT have sparked concerns for wide adoption and applications. Unlike traditional information technology (I.T.) systems, the IoT environment is challenging to secure due to resource constraints, heterogeneity, and distributed nature of the smart devices. This makes it impossible to apply host-based prevention mechanisms such as anti-malware and anti-virus. These challenges and the nature of IoT applications call for a monitoring system such as anomaly detection both at device and network levels beyond the organisational boundary. This suggests an anomaly detection system is strongly positioned to secure IoT devices better than any other security mechanism. In this paper, we aim to provide an in-depth review of existing works in developing anomaly detection solutions using machine learning for protecting an IoT system. We also indicate that blockchain-based anomaly detection systems can collaboratively learn effective machine learning models to detect anomalies.",cybersecurity; anomaly detection; the Internet of Things; machine learning; deep learning; blockchain
https://doi.org/10.1016/j.future.2020.08.046,https://www.sciencedirect.com/science/article/pii/S0167739X20317064,Adarsh Kumar and Kriti Sharma and Harvinder Singh and Sagar Gupta Naugriya and Sukhpal Singh Gill and Rajkumar Buyya,2021,A drone-based networked system and methods for combating coronavirus disease (COVID-19) pandemic,article,Future Generation Computer Systems,ScienceDirect,"Coronavirus disease (COVID-19) is an infectious disease caused by a newly discovered coronavirus. It is similar to influenza viruses and raises concerns through alarming levels of spread and severity resulting in an ongoing pandemic worldwide. Within eight months (by August 2020), it infected 24.0 million persons worldwide and over 824 thousand have died. Drones or Unmanned Aerial Vehicles (UAVs) are very helpful in handling the COVID-19 pandemic. This work investigates the drone-based systems, COVID-19 pandemic situations, and proposes an architecture for handling pandemic situations in different scenarios using real-time and simulation-based scenarios. The proposed architecture uses wearable sensors to record the observations in Body Area Networks (BANs) in a push–pull data fetching mechanism. The proposed architecture is found to be useful in remote and highly congested pandemic areas where either the wireless or Internet connectivity is a major issue or chances of COVID-19 spreading are high. It collects and stores the substantial amount of data in a stipulated period and helps to take appropriate action as and when required. In real-time drone-based healthcare system implementation for COVID-19 operations, it is observed that a large area can be covered for sanitization, thermal image collection, and patient identification within a short period (2 KMs within 10 min approx.) through aerial route. In the simulation, the same statistics are observed with an addition of collision-resistant strategies working successfully for indoor and outdoor healthcare operations. Further, open challenges are identified and promising research directions are highlighted.",Artificial intelligence; Collision avoidance; COVID-19; Drones; Internet of Things; Pandemic
https://doi.org/10.1016/j.comnet.2021.108672,https://www.sciencedirect.com/science/article/pii/S1389128621005466,Nidal Nasser and Zubair Md Fadlullah and Mostafa M. Fouda and Asmaa Ali and Muhammad Imran,2021,A lightweight federated learning based privacy preserving B5G pandemic response network using unmanned aerial vehicles: A proof-of-concept,article,Computer Networks,ScienceDirect,"The concept of an intelligent pandemic response network is gaining momentum during the current novel coronavirus disease (COVID-19) era. A heterogeneous communication architecture is essential to facilitate collaborative and intelligent medical analytics in the fifth generation and beyond (B5G) networks to intelligently learn and disseminate pandemic-related information and diagnostic results. However, such a technique raises privacy issues pertaining to the health data of the patients. In this paper, we envision a privacy-preserving pandemic response network using a proof-of-concept, aerial-terrestrial network system serving mobile user entities/equipment (UEs). By leveraging the unmanned aerial vehicles (UAVs), a lightweight federated learning model is proposed to collaboratively yet privately learn medical (e.g., COVID-19) symptoms with high accuracy using the data collected by individual UEs using ambient sensors and wearable devices. An asynchronous weight updating technique is introduced in federated learning to avoid redundant learning and save precious networking as well as computing resources of the UAVs/UEs. A use-case where an Artificial Intelligence (AI)-based model is employed for COVID-19 detection from radiograph images is presented to demonstrate the effectiveness of our proposed approach.",5G; Beyond 5G (B5G); Federated learning; Unmanned aerial vehicle (UAV); Pandemic; Artificial intelligence (AI); Edge computing
https://doi.org/10.1016/j.pmcj.2021.101426,https://www.sciencedirect.com/science/article/pii/S1574119221000730,Murat Simsek and Azzedine Boukerche and Burak Kantarci and Shahzad Khan,2021,AI-driven autonomous vehicles as COVID-19 assessment centers: A novel crowdsensing-enabled strategy,article,Pervasive and Mobile Computing,ScienceDirect,"Internet of Things(IoT) facilitates key technologies that rely on sensing, communication and processing in daily routines. As an IoT-enabled paradigm, mobile crowdsensing (MCS) can offer more possibilities for data collection to support various IoT applications and services. As an extension, MCS can be used for data gathering amid COVID-19 pandemic crisis. Bridging Artificial Intelligence and IoT can achieve not only maintaining low infection rates of COVID-19 but can also facilitate an effective rapid testing strategy to reduce community spread. In this research, an intelligent strategy to deploy autonomous vehicle-based mobile testing facilities is proposed to enable early detection of infected cases based upon MCS data acquired through smart devices via wireless communications such as Wifi, LTE and 5G. To this end, a Self Organizing Feature Map is designed to manage MCS-based data for planning of the autonomous mobile assessment centers. Pre-identified zero-day locations and worst-case scenario are considered to determine the best combination for MCS participation rate and budget limitations. Numerical results demonstrate that once 30% of MCS participants are recruited, it becomes possible to cover the pre-identified zero-day locations and enable detection of infected cases under the worst case scenario to determine the AV routes more efficiently than other options for a certain number of neurons in SOFM. The worst-case scenario demonstrates that 30% participant rate ensures detection of infected cases in 27 days for 81 stops even infected cases are outside of the autonomous vehicle testing coverage.",COVID-19; Pandemic; Mobile crowdsensing; Autonomous vehicle; Mobile assessment center; Route planning; Participatory systems; Decision making; Machine learning; Self organizing feature map
10.1145/3416012.3424622,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3416012.3424622,"Ruby, Rukhsana and Wu, Kaishun and Pham, Quoc-Viet and ElHalawany, Basem M.",2020,Aiding a Disaster Spot via an UAV-Based Mobile AF Relay: Joint Trajectory and Power Optimization,inproceedings,Proceedings of the 18th ACM Symposium on Mobility Management and Wireless Access,ACM,"Followed by the destruction of existing infrastructure or the emergence of the necessity for a new infrastructure, disaster events (e.g., earthquakes and pandemic) may require inspection of certain area and passing information to a dedicated help unit. Unmanned Aerial Vehicle (UAV)-aided mobile relaying technology is one of the effective means of provisioning service in such situations. In this paper, as the part of the rescuing operation in a certain disaster spot, we consider a mobile relaying technique, where an UAV acts as a relay node to ferry data between two disconnected floating or fixed nodes. For the sake of simplicity and low cost, amplify-and-forward relaying capability is adopted for the UAV. We consider the maximization of end-to-end throughput of such a system by optimizing the source/UAV power allocation as well as the trajectory of the UAV while considering practical mobility constraints (on the speed and initial/final locations of the UAV) as well as signal causality constraints. The formulated optimization problem is non-convex, and hence intractable to solve. Therefore, similar to the existing solution approach, we solve the problem via an iteration-based solution strategy, however we solve the source/UAV power allocation and the UAV trajectory design problems per iteration in a different manner. For the source/UAV power allocation problem, we provide heuristic solutions while considering both the availability and absence of a buffer at the UAV node. On the other hand, for the given power assignment, we adopt the geometric programming (GP)-based approach upon the transformation of variables and constraints. Furthermore, under the free initial and final UAV locations, jointly optimal power allocation and UAV trajectory are derived. Through extensive simulation, we verify the effectiveness of the proposed scheme while comparing with one existing work.",amplify-and-forward (AF) mobile relay; power optimization; unmanned aerial vehicles (UAVs); trajectory design
https://doi.org/10.1016/j.ifacol.2021.10.497,https://www.sciencedirect.com/science/article/pii/S2405896321019340,Andrey Y. Iskhakov and Anastasia O. Iskhakova and Roman V. Meshcheryakov,2021,Algorithm for building a cyberphysical system operator profile for adaptive authentication,article,IFAC-PapersOnLine,ScienceDirect,"Modern control systems designed to automate the control of process equipment in industrial plants require the provision of serious security mechanisms and functions. The COVID-19 pandemic in 2020 has highlighted the urgent need to implement remote access for operators of such enterprises, including access to some interfaces of industrial systems. Current information security challenges require modernization of the defense-in-depth of such facilities, including protection against compromising credentials by developing new solutions in the field of authentication of system subjects. This paper proposes a method for forming a profile of access subject authentication allowing differentiated development of adaptive algorithms to verify the legitimacy of operations. This eliminates the disadvantages of existing traditional authentication methods based on the use of explicit verification methods associated with the fact that in order to establish the authenticity of the user are used identifying characteristics that can be compromised by attackers. The paper presents the results of comparing the information content of different attributes when forming a subject access profile. The experiments confirmed the successful application of the proposed approach for different groups of access subjects and cyberphysical systems.",adaptive authentication; cybersecurity; cyberphysical systems; device fingerprint; verification
10.1109/TITS.2021.3119855,10.1109/TITS.2021.3119855,"Rezaee, Khosro and Mousavirad, Seyed Jalaleddin and Khosravi, Mohammad R. and Moghimi, Mohammad Kazem and Heidari, Mohsen",2021,An Autonomous UAV-Assisted Distance-Aware Crowd Sensing Platform Using Deep ShuffleNet Transfer Learning,article,IEEE Transactions on Intelligent Transportation Systems,IEEE,"Autonomous unmanned aerial vehicles (UAVs) are essential for detecting and tracking specific events, such as automatic navigation. The intelligent monitoring of people's social distances in crowds is one of the most significant events caused by the coronavirus. The virus is spreading more quickly among the crowds, and the disease cycle continues in congested areas. Due to the error that occurs when humans monitor their activity, an automated model is required to alert to social distance violations in crowds. As a result, this article proposes a two-step framework based on autonomous UAV videos, including human tracking and deep learning-based recognition of the crowd's social distance. The deep architecture is a modified-fast and lightweight ShuffleNet learning structure. First, the Kalman filter is used to determine the positions of individuals, and then the modified ShuffleNet is used to refine the bounding boxes obtained and determine the social distance. The social distance is calculated using the initial refinement of the bounding box obtained during the tracking step and the scale in frames of the human body. The observed average accuracy, average processing time (APT), and processed frame per second (FPS) for three congestion datasets were 97.5%, 84 milliseconds, and 11.5 FPS, respectively. Real-time decision-making was achieved by reducing the size and resolution of the frames. Additionally, the frames were re-labeled to reduce the computational complexity associated with detecting social distancing. The experimental results demonstrated that the proposed method could operate more quickly and accurately on various resolution frames of UAV videos with difficult conditions.",Social factors;Human factors;Monitoring;Videos;COVID-19;Kalman filters;Unmanned aerial vehicles;Unmanned aerial vehicle (UAV);COVID-19;social distancing;deep transfer learning;tracking;modified ShuffleNet.
