doi,url,author,year,title,articleType,sourceTitle,base,abstract,keywords
10.1145/2930674.2935985,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/2930674.2935985,"Di Pretoro, Noelia",2016,Linguistic and Social Treatment of Specific Language Impairment (SLI) Using Scratch,inproceedings,Proceedings of the The 15th International Conference on Interaction Design and Children,ACM,"In this note, we present a novel approach in using visual programming languages and in treating Specific Language Impairments (SLI). Starting from the characteristics of SLI, in particular of syntactic impairment, and from the need to develop metalinguistic awareness, assuming that the latest researches in computer programming assessing it as a language are right, we show the theoretical possibility to treat linguistic impairments, for what concerns linguistic and social difficulties, through the use of visual programming, in particular of Scratch. This study does not have an application in the field yet, but we believe in the importance of sharing these ideas.",syntactical treatment; Scratch; metalinguistic awareness; programming; bilingualism; Specific Language Impairment; SLI
10.1145/3194658.3194675,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3194658.3194675,"Rello, Luz and Romero, Enrique and Rauschenberger, Maria and Ali, Abdullah and Williams, Kristin and Bigham, Jeffrey P. and White, Nancy Cushen",2018,Screening Dyslexia for English Using HCI Measures and Machine Learning,inproceedings,Proceedings of the 2018 International Conference on Digital Health,ACM,"More than 10% of the population has dyslexia, and most are diagnosed only after they fail in school. This work seeks to change this through early detection via machine learning models that predict dyslexia by observing how people interact with a linguistic computer-based game. We designed items of the game taking into account (i) the empirical linguistic analysis of the errors that people with dyslexia make, and (ii) specific cognitive skills related to dyslexia: Language Skills, Working Memory, Executive Functions, and Perceptual Processes. . Using measures derived from the game, we conducted an experiment with 267 children and adults in order to train a statistical model that predicts readers with and without dyslexia using measures derived from the game. The model was trained and evaluated in a 10-fold cross experiment, reaching 84.62% accuracy using the most informative features.",machine learning; diagnosis; serious games; linguistics; dyslexia; screening; early detection
10.1145/3371300.3383342,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3371300.3383342,"Rauschenberger, Maria and Baeza-Yates, Ricardo and Rello, Luz",2020,Screening Risk of Dyslexia through a Web-Game Using Language-Independent Content and Machine Learning,inproceedings,Proceedings of the 17th International Web for All Conference,ACM,"Children with dyslexia are often diagnosed after they fail school even if dyslexia is not related to general intelligence. In this work, we present an approach for universal screening of dyslexia using machine learning models with data gathered from a web-based language-independent game. We designed the game content taking into consideration the analysis of mistakes of people with dyslexia in different languages and other parameters related to dyslexia like auditory perception as well as visual perception. We did a user study with 313 children (116 with dyslexia) and train predictive machine learning models with the collected data. Our method yields an accuracy of 0.74 for German and 0.69 for Spanish as well as a F1-score of 0.75 for German and 0.75 for Spanish, using Random Forests and Extra Trees, respectively. To the best of our knowledge this is the first time that risk of dyslexia is screened using a language-independent content web-based game and machine-learning. Universal screening with language-independent content can be used for the screening of pre-readers who do not have any language skills, facilitating a potential early intervention.",universal screening; visual; web-based assessment; language-independent; auditory; pre-readers; detection; dyslexia; gamification; serious games
10.1145/2596695.2596697,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/2596695.2596697,"Rello, Luz and Baeza-Yates, Ricardo",2014,Evaluation of DysWebxia: A Reading App Designed for People with Dyslexia,inproceedings,Proceedings of the 11th Web for All Conference,ACM,"In this paper we present the evaluation of DysWebxia, a reading app for iOS devices, specially designed for people with dyslexia. DysWebxia integrates previous results about the best way to present text for people with dyslexia together with a unique feature, the ability to show synonyms on demand for complex words. Although the new algorithm used for this unique feature is language independent, our first prototype is for Spanish. To evaluate DysWebxia we carried out two different user studies. One to evaluate the quality of the synonyms on demand that included 32 participants with dyslexia and 38 strong readers without dyslexia, and another one to evaluate the usability of the app based on 12 participants. Our results show that the quality of the synonyms generated by the new algorithm outperforms a frequency based baseline, and that the participants found DysWebxia very usable. Therefore, we show that this app may have in the future a large impact for people with dyslexia.",dyslexia; text customization; synonym generation; text simplification; reading software
10.1145/2899475.2899491,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/2899475.2899491,"Rello, Luz and Williams, Kristin and Ali, Abdullah and White, Nancy Cushen and Bigham, Jeffrey P.",2016,Dytective: Towards Detecting Dyslexia across Languages Using an Online Game,inproceedings,Proceedings of the 13th International Web for All Conference,ACM,"At least 10% of the global population has dyslexia. In the United States and Spain, dyslexia is associated with a large percentage of school drop out. Current methods to detect risk of dyslexia are language specific, expensive, or do not scale well because they require a professional or extensive equipment. A central challenge to detecting dyslexia is handling its differing manifestations across languages. To address this, we designed a browser-based game, Dytective, to detect risk of dyslexia across the English and Spanish languages. Dytective consists of linguistic tasks informed by analysis of common errors made by persons with dyslexia. To evaluate Dytective, we conducted a user study with 60 English and Spanish speaking children between 7 and 12 years old. We found children with and without dyslexia differed significantly in their performance on the game. Our results suggest that Dytective is able to differentiate school age children with and without dyslexia in both English and Spanish speakers.",early detection; linguistics; assessment; screening; dyslexia; diagnosis; games
10.1145/3132525.3132546,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3132525.3132546,"Rello, Luz and Bigham, Jeffrey P.",2017,Good Background Colors for Readers: A Study of People with and without Dyslexia,inproceedings,Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility,ACM,"The use of colors to enhance the reading of people with dyslexia have been broadly discussed and is often recommended, but evidence of the effectiveness of this approach is lacking. This paper presents a user study with 341 participants (89 with dyslexia) that measures the effect of using background colors on screen readability. Readability was measured via reading time and distance travelled by the mouse. Comprehension was used as a control variable. The results show that using certain background colors have a significant impact on people with and without dyslexia. Warm background colors, Peach, Orange and Yellow, significantly improved reading performance over cool background colors, Blue, Blue Grey and Green. These results provide evidence to the practice of using colored backgrounds to improve readability; people with and without dyslexia benefit, but people with dyslexia may especially benefit from the practice given the difficulty they have in reading in general.",dyslexia; background colors; readability; reading speed
10.1145/2899475.2899503,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/2899475.2899503,"Rauschenberger, Maria",2016,DysMusic: Detecting Dyslexia by Web-Based Games with Music Elements: Doctoral Consortium,inproceedings,Proceedings of the 13th International Web for All Conference,ACM,The aim of this research is to show that a playful approach combined with music can detect children with dyslexia. Early detection will prevent children from suffering in school until they are detected due to bad grades. Our envisioned web application will contribute to 10% of the population by giving them a chance to succeed in life and find their skills to impress the world.,detection; serious games; dyslexia; web-based assessment; gamification; learning
10.1145/3284869.3284915,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3284869.3284915,"Francese, Rita and Monaco, Clara and Nicoletti, Claudia",2018,An Android Application for Helping in the Identification of Children with Reading Difficulties,inproceedings,Proceedings of the 4th EAI International Conference on Smart Objects and Technologies for Social Good,ACM,"It is very important that children with reading disorders be detected in their early age because this problem may have a hard impact on the learning performance and cause study drop-out, lower self-esteem, and, in extreme case, unemployment. In this paper we present an application aiming at providing help in the identification of 7/8-year-old Italian children attending the second class of the primary school having reading disorders. The app is a reading exercise articulated in levels and is based on sentences created on purpose. Specific metrics for detecting reading problems are also proposed and the threshold values are experimentally set. The sample is composed of 46 second class children of a primary school. A preliminary validation of the application has been conducted on a little sample of children with learning difficulties. First results are encouraging and suggest that the application may be tested on a wider scale.",Mobile Application; Interactive Game; Disability; Dyslexia
10.1145/3394332.3402831,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3394332.3402831,"Draffan, Ea and Ding, Chaohai and Wald, Mike and Newman, Russell",2020,Multilingual Symbolic Support for Low Levels of Literacy on the Web,inproceedings,12th ACM Conference on Web Science Companion,ACM,"Although literacy rates around the world have increased and there is an expectation that individuals who access web pages will be able to read their content, this is not always the case. The barriers that may be faced can be linked to the way the system is designed and content is written. There may be complex language or a layout that is dense, cluttered and lacks clear markers regarding the key points being made. Many organizations have provided guidance for web developers and authors offering suitable ways to ensure those accessing a website or service will have a pleasurable experience. However, it appears that there are still websites hosting pages with dense text, convoluted instructions and little support for those with low levels of literacy. When considering poor reading skills, the cause may be due to many factors including a lack of education, sensory and /or intellectual impairments and specific difficulties such as dyslexia. This means that the vast majority of online content may be hard to understand for a significant proportion of the world’s population. Moreover, these individuals may also lack digital skills, with little realization that assistive technologies and the availability of supportive access strategies can be helpful in these situations. This paper aims to introduce the idea of enhancing readability of web content by using artificial intelligence (AI) techniques, such as linked data, natural language processing and image recognition to make available a wide range of automatically mapped multilingual symbols that can be used to clarify text content. In the past only a few symbol sets have been mapped and it was not possible to consider their appropriateness for text to symbol translations in a wide range of languages and cultural settings.",literacy support; readability; artificial intelligence; multilingual symbols
10.1145/3392063.3394421,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3392063.3394421,"Spitale, Micol and Silleresi, Silvia and Cosentino, Giulia and Panzeri, Francesca and Garzotto, Franca",2020,"""Whom Would You like to Talk with?"": Exploring Conversational Agents for Children's Linguistic Assessment",inproceedings,Proceedings of the Interaction Design and Children Conference,ACM,"The dramatic increment of communication impairments among children increases the demand for intensive, highly accessible and low-cost interventions as well as new assessment and therapeutic tools. Our research aims at exploring the use of Conversational Agents (CAs) to support linguistic assessment and training among children with language impairment. One of the open research issues in this arena concerns the identification of the most appropriate form of ""embodiment"" of the CA for children to interact with. To this end, we evaluated the linguistic performance of 14 neuro-typical children and 3 children with language impairment comparing different CAs - physical object and virtual character - with ""traditional"" human interaction. Based on our analysis, we identify insights for the design of CA: the physicality does influence the performance of linguistic tasks for children with linguistic impairment. In addition, children seem to show a preference for the physical CA and perceived it as smarter than the virtual one.",speech therapy; children perception; linguistic assessment; conversational agent
10.5555/2391123.2391125,https://dl.acm.org/doi/10.5555/2391123.2391125,"Prud'hommeaux, Emily T. and Roark, Brian",2012,Graph-Based Alignment of Narratives for Automated Neurological Assessment,inproceedings,Proceedings of the 2012 Workshop on Biomedical Natural Language Processing,ACM,"Narrative recall tasks are widely used in neuropsychological evaluation protocols in order to detect symptoms of disorders such as autism, language impairment, and dementia. In this paper, we propose a graph-based method commonly used in information retrieval to improve word-level alignments in order to align a source narrative to narrative retellings elicited in a clinical setting. From these alignments, we automatically extract narrative recall scores which can then be used for diagnostic screening. The significant reduction in alignment error rate (AER) afforded by the graph-based method results in improved automatic scoring and diagnostic classification. The approach described here is general enough to be applied to almost any narrative recall scenario, and the reductions in AER achieved in this work attest to the potential utility of this graph-based method for enhancing multilingual word alignment and alignment of comparable corpora for more standard NLP tasks.",
10.1145/2745555.2746661,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/2745555.2746661,"Rello, Luz and Carlini, Roberto and Baeza-Yates, Ricardo and Bigham, Jeffrey P.",2015,A Plug-in to Aid Online Reading in Spanish,inproceedings,Proceedings of the 12th International Web for All Conference,ACM,"Reading text on the Web is a challenging task for many people, such as those with cognitive impairments, reading difficulties or people who are learning a new language. In this paper we present a web browser plug-in to help with reading Spanish text on the Web. The plug-in is freely available for Chrome and presents definitions and simpler synonyms on demand for the selected web text. The tool was modified following the suggestions of 5 people (2 with diagnosed dyslexia) who tested the tool using the think aloud protocol and undertook a subsequent interview.",definitions; synonyms; plug-in; Chrome; readability; lexical simplification; text simplification
10.1145/3450614.3464480,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3450614.3464480,"Karoui, Aous and Alvarez, Lionel and Goffre, Thierry and Dherbey Chapuis, Nathalie and Rodi, Mireille and Ramalho, Mario",2021,Adaptive Pathways within the European Platform for Personalized Language Learning PEAPL,inbook,"Adjunct Proceedings of the 29th ACM Conference on User Modeling, Adaptation and Personalization",ACM,"The customization of learning pathways based on competency profiles and game-based learning are increasingly being adopted by education stakeholders because of their potential to maximize the effectiveness of instruction. However, actual learning can vary among individuals, particularly according to specific needs (e.g., L2 speakers learners, students with dyslexia, hearing-impaired children, etc.). In this article, we first present GamesHUB, the pedagogical games platform for primary school pupils, integrating the creation of playful and personalized learning paths. Secondly, we address the issue of adaptive learning, according to the different pupils’ profiles, through the integration of pedagogical resources based on adaptive pathways in the framework of the European project PEAPL. We discuss the way these pathways are elaborated to get close to didactic sequences’ frames that are proposed for the ordinary classroom.",TEL environment; game-based learning; adaptive learning paths
10.1145/3129416.3129445,https://doi-org.ez294.periodicos.capes.gov.br/10.1145/3129416.3129445,"Schl\""{u}nz, Georg I. and Wilken, Ilana and Moors, Carmen and Gumede, Tebogo and van der Walt, Willem and Calteaux, Karen and T\""{o}nsing, Kerstin and van Niekerk, Karin",2017,Applications in Accessibility of Text-to-Speech Synthesis for South African Languages: Initial System Integration and User Engagement,inproceedings,Proceedings of the South African Institute of Computer Scientists and Information Technologists,ACM,"Persons with certain disabilities face barriers to information access and interpersonal communication. Assistive technologies provide workaround solutions to these problems. Augmentative and alternative communication systems aid the person with little or no functional speech to speak out loud. Screen readers and accessible e-books allow a print-disabled (visually-impaired, partially-sighted or dyslexic) individual to read text material by listening to audio versions. Text-to-speech synthesis converts electronic text into artificial speech and is used as the vocalisation component in the assistive technologies. For these three use cases, we report on an initial round of system integration and user engagement of the Qfrency text-to-speech voices that provide access to synthetic speech in the South African languages.",system integration; text-to-speech; user engagement; South African languages; assistive technology; accessibility
