weight,word
466,training
35,recurrent neural networks
19,time series analysis
4,memory management
29,generative adversarial networks
55,anomaly detection
42,testing
17,time series
12,autoencoder
1,long short term memory nerworks
33,covid-19
8,technological innovation
4,systematics
9,education
19,transportation
24,tools
1185,unmanned aerial vehicles
902,uav
85,iot
1001,machine learning
3,ar
17,ai
1,camera traps
1285,deep learning
1,ecological informatics
1,generalised additive models
1,learning curves
4,predictive modelling
8,wildlife
1,construction and demolition waste
