weight,word
1,syntactical treatment
2,scratch
2,metalinguistic awareness
1,programming
129,bilingualism
23,specific language impairment
8,sli
8,machine learning
4,diagnosis
4,serious games
2,linguistics
33,dyslexia
9,screening
3,early detection
2,universal screening
2,visual
2,web-based assessment
1,language-independent
7,auditory
1,pre-readers
2,detection
2,gamification
1,text customization
1,synonym generation
7,text simplification
1,reading software
19,assessment
2,games
1,background colors
7,readability
