weight,word
1,zero-crossing point
49,deep neural network
1,total harmonic distortion
9,noise
1,sinusoidal signal
1,bayesian approach
1,double hierarchy information
1,evaluation based on distance from average solution (edas)
1,hesitant fuzzy linguistic terms
3,multi-criteria decision making (mcdm)
1,youtube videos
9,feature fusion
1,video popularity prediction
23,social networks
1,yoking proofs
1,grouping proofs
1,rfid security
34,iot security
1,soybean
1,yield prediction
1,county-level
2,google earth engine
4,cnn-lstm
5,android malware
1,mobile malware detection
1,machine learning and classification
55,technological innovation
1150,smart cities
3,service robots
145,roads
