Periodico,Quantidade
2020 International Conference on Artificial Intelligence and Computer Engineering (ICAICE),1
2021 2nd International Conference on Intelligent Engineering and Management (ICIEM),1
Ecological Informatics,29
Journal of Environmental Management,14
Neurocomputing,232
IFAC-PapersOnLine,216
ACM Trans. Archit. Code Optim.,1
ISPRS Journal of Photogrammetry and Remote Sensing,119
Sensors,679
Control Engineering Practice,22
Remote Sensing,1110
"2014 14th International Conference on Control, Automation and Systems (ICCAS 2014)",1
2019 15th International Wireless Communications Mobile Computing Conference (IWCMC),3
ISPRS International Journal of Geo-Information,75
GLOBECOM 2017 - 2017 IEEE Global Communications Conference,2
2021 17th International Conference on Network and Service Management (CNSM),1
Proceedings of the ACM MobiArch 2020 The 15th Workshop on Mobility in the Evolving Internet Architecture,1
2020 IEEE/CIC International Conference on Communications in China (ICCC),5
Journal of Structural Geology,2
IEEE Access,146
Expert Systems with Applications,82
Proceedings of the 9th International Conference on Machine Learning and Computing,3
Computers and Electronics in Agriculture,204
Robotics and Autonomous Systems,117
Future Generation Computer Systems,62
Transportation Research Part C: Emerging Technologies,18
Geosciences,17
Underground Space,2
Automation in Construction,120
Applied Soft Computing,88
Energies,68
IEEE Transactions on Communications,8
Buildings,7
IEEE Transactions on Wireless Communications,19
Applied Sciences,267
Ad Hoc Networks,61
IEEE Transactions on Intelligent Transportation Systems,13
Computer Vision and Image Understanding,12
Computer Communications,95
Big Data and Cognitive Computing,6
Chinese Journal of Aeronautics,92
Computer Standards & Interfaces,3
Journal of Industrial Information Integration,11
Theoretical Computer Science,2
Drones,87
IEEE Internet of Things Journal,52
IEEE Journal of Solid-State Circuits,1
IEEE Transactions on Cognitive and Developmental Systems,2
2021 IEEE 19th World Symposium on Applied Machine Intelligence and Informatics (SAMI),2
Intelligent Systems with Applications,1
Procedia Structural Integrity,2
Measurement,53
Electronics,118
Proceedings of the 2021 International Conference on Multimedia Retrieval,2
ISA Transactions,92
2020 3rd International Seminar on Research of Information Technology and Intelligent Systems (ISRITI),1
Information,14
IFAC Journal of Systems and Control,2
Digital Communications and Networks,14
Computer Networks,103
Computers & Electrical Engineering,54
Transportation Research Part B: Methodological,2
Journal of Archaeological Science,5
Water,36
Sustainable Cities and Society,24
J. Data and Information Quality,2
Vehicular Communications,24
Proceedings of the 35th Annual ACM Symposium on Applied Computing,2
2017 IEEE Second Ecuador Technical Chapters Meeting (ETCM),1
2018 IEEE Asia Pacific Conference on Circuits and Systems (APCCAS),1
Computers,10
Biomedical Signal Processing and Control,3
Fuzzy Sets and Systems,6
Microelectronics Reliability,7
2018 IEEE 8th Annual Computing and Communication Workshop and Conference (CCWC),2
"Computers, Environment and Urban Systems",10
Symmetry,40
Computers in Biology and Medicine,1
2019 International Conference on Intelligent Computing and its Emerging Applications (ICEA),1
International Journal of Applied Earth Observation and Geoinformation,77
Mechanical Systems and Signal Processing,35
